id,name,Description,groupIconUrl,individualIconUrl,photoUrl,range,penetration,altitude
1,2B14; 82mm,"The 2B14 Podnos is a Soviet 82mm mortar. The 2B14 was designed in early 1980s as a light indirect fire weapon for the use of airborne and other light infantry forces. Despite the intent to field the 2B14 with light infantry units, the 2B14 appears to have been fielded with regular motor rifle units as well at a scale of six per battalion",group/enmortar,individual/enmedmortar,photo/2b14,13000,20,0
2,2S12; 120mm,"2S12 is in fact the designator for the combination of the 2B11 ""Sani"" heavy mortar with its transport vehicle 2F510, a GAZ-66-15 4x4 truck. The 2B11 weighs nearly 500 lb when fully assembled, and thus must be mounted to the 2x1 wheeled chassis 2L81 and towed to the emplacement site by the truck. The GAZ-66 prime mover also transports the ammo load: 24 70-lb crates of 120mm HE mortar bombs, 2 bombs per crate, for a total of 48 available rounds.",group/enmortar,individual/enhvymortar,photo/2s12,12800,30,0
3,6G30,"Hand-held 40-mm grenade launcher with 6-shot revolver Type cylinder. The launcher is 690 mm long (520 with buttstock retracted) and weighs 6.2 kg unloaded. With swing-out cylinder for fast loading and double action trigger, it can deliver a high volume of precision fire (16 rd/min) to 350 m.",group/eninf,individual/enagl,photo/6g30,400,10,0
4,AGS-17,"Crew: 3 (gunner and two riflemen-assistant gunners). For ground transport the AGS- 17 breaks down into four parts: launcher, sight, tripod, and magazine. When dismounted the gunner carries the sight and launcher, the first assistant carries the tripod and a magazine, and the second assistant carries two additional magazines. An additional ammunition bearer may be used.",group/eninf,individual/enmedagl,photo/ags17,1200,10,0
5,AK-47,Photo is of an akm. All 7.62x39 mm kalashnikov assault rifles are very dependable weapons. They produce a high volume of fire and are simple to maintain and produce. The primary difference between the ak-47 and the improved akm is the receiver. The receiver of the ak-47 is forged and machined while the receiver of the akm is stamped metal facilitating easier and less costly manufacturing. Both the ak-47 and the akm can mount a 40-mm under-barrel grenade launcher. The ak-47 and akm have been replaced in many armies by the newer ak-74. The ak-74 is basically an akm re-chambered to fire a 5.45x39 mm cartridge. The 7.62x39 mm rpk light machinegun is based on the ak/akm design while the rpk-74 is a light machinegun version of the ak-74. Both are infantry squad level support weapons.,group/eninf,individual/enrifle,photo/ak47,300,6,0
6,AK-74,Weapon pictured is an ak-74m. The ak-74 is basically an akm rechambered and re-barreled to fire a 5.45x39 mm cartridge. The ak-74 can mount a 40-mm under-barrel grenade launcher and a passive image intensifier night sight. The ak-74 is also the basis for other 5.45x39 mm infantry weapons including the rpk-74 light machinegun.,group/eninf,individual/enrifle,photo/ak74,500,5,0
7,AT-13,"The russians used to characterize the at-7 complex as a man-portable (<21 kg), permitting long-distance carry by dismounted infantry. However, the at-13 missile complex slightly exceeds 20 kg. With a 2-man crew, it is close enough to fit into the category. Guidance elevation has a 15 degree span. Because the module is small and can be quickly corrected by shifting, elevation and field of view are operationally unlimited, and permit use against hovering or stationary helicopters.",group/enat,individual/enmedatgm,photo/at13,1500,1000,0
8,AT-14,"By weight, kornet-mr can be broken down into a portable (30-50) 2-man system, or a man-portable system with fewer accessories. Kornet-lr is only portable (short-distance carry – see at-3). Mr and lr kornet missiles are interchangeable on launchers.",group/enat,individual/enhvyatgm,photo/at14,5500,1100,0
9,AT-3,"At-3 is classed by weight as portable (21+ kg with crew carry), rather than man-portable (<21 kg). However, with a 3-man crew and separated components, it can be carried like a man-portable system. The launcher is also a missile carry case, with missile body and warhead separated. They snap together in seconds. Missile upgrade time to malyutka 2 is a few minutes. The guidance panel can be located up to 15 meters from the launcher, and can control up to four launchers. If target is <1,000 meters from launcher, the operator can joystick the missile to target without using optics. Because the module is small and can be shifted, elevation and field of view are operationally unlimited. Improved versions can be used on older launchers, but in the mclos mode. Any at-3 can use the malyutka-2m missile or be upgraded to it with replacement of warhead and or replacement of specific warhead and motor components.",group/enat,individual/enltatgm,photo/at3,3000,520,0
10,AT-4,The russians categorize the at-4/4b system as portable rather than man portable. For dismount carry load it is divided among three packs. Due to its greater weight at5/5b fits into the heavy class and should only be carried short distances from vehicle <500m.,group/enat,individual/enltatgm,photo/at4,2500,550,0
11,AT-5,"The 9M113 Konkurs (Russian: 9?113 «???????»; cognate of French: Concours; English: ""Contest"") is a SACLOS wire-guided anti-tank missile of the Soviet Union. ""9M113"" is the GRAU designation of the missile. Its NATO reporting name is AT-5 Spandrel.",group/enat,individual/enltatgm,photo/at5,4000,925,0
12,AT-7,"The russians used to characterize the at-7 complex as a man-portable (<21 kg), permitting long-distance carry by dismounted infantry. However, the at-13 missile complex slightly exceeds 20 kg. With a 2-man crew, it is close enough to fit into the category. Guidance elevation has a 15 degree span. Because the module is small and can be quickly corrected by shifting, elevation and field of view are operationally unlimited, and permit use against hovering or stationary helicopters.",group/enat,individual/enltatgm,photo/at7,1000,460,0
