1,2S1; Gvozdika,"The 2S1’s ammunition stowage rack is not mechanized. The 2S1 is manually loaded with a semiautomatic ramming capability. The four-man crew consists of the commander, driver, gunner, and loader.",group/enspartillery,individual/ enhvyhowitzer,photo/2s1, 122mm Howitzer, null, null,20,60,500,16
2,2S19; Msta-S,"The 2S19’s gun crew can load the gun at any angle of elevation. The 2S19 can also produce a smokescreen by injecting diesel fuel into the exhaust outlet. The 21-hp gas turbine AP-18D Auxiliary Power Unit provides power for turret operations when the vehicle engine is shut down. The 2S19 can displace quickly even without a barrel lock immediately after completing a fire mission. After spades are lifted and area cleared, the vehicle can displace 200-300 m away, where the barrel is then locked. Remote-operated barrel/travel locks are especially useful for rapid emplacement, and to emplace/ displace for short fire missions from the move, without need for fully occupying a battery firing position.",group/enspartillery,individual/ enhvyhowitzer,photo/2s19, 152mm Howitzer, 12.7mm, null, 15, 60, 500, 42
3,2S23; Nona-SVK,2s23 has a device for loading projectiles from the ground. During traveling the device is externally attached on the right side near the side door. Gun and mortar frag-he ammunition for the 2s23 can employ proximity fuzes for air bursts.,group/enarmorwheelmortar,individual/ enwheelmortar ,photo/2s23, 120mm Mortar, 120mm HEAT, null, 25, 80, 800, 15
4,2S25; Sprut-SD,"Hydro-pneumatic suspension is used to vary height immediately, lowering profile to reduce signature, improve cross-country mobility, reduce swimming profile, and increase stability during firing. Since the vehicle can also fit aboard aircraft, a lowered profile facilitates loading. Available options are improved ammunition and FCS, spall liners, air conditioning, and a more powerful engine. These could include stabilized fire control similar to that on T-90A, with autoloader and improved thermal night sight. Improved FCS could permit use of the Ainet HE-Shrapnel Focused Fragmentation round. For airborne and amphibious forces, the round would supplement the limited air defense capabilities ",group/enspat,individual/ enspat,photo/2s25, 125mm APFSDS-T, PKT, AT-11B HEAT,25,71,500,18
5,2S3M; Akatsiya,"The 2S3M turret has the cannon, fire-control equipment, ammunition storage space, and work positions for commander, gunner, and loader. Original ammo stowage was modified to a standardized 2S3M version with a higher capacity semi-automated ammo loader. Ammo racks are not mechanized. The cannon has an electrical loader/ rammer, fed from the cradle. Rounds and charges from the ground feed through a hatch at the rear to the cradle, for a high rate of fire. The feature also permits the vehicle to retain its onboard load.",group/enspartillery,individual/ enhvyhowitzer,photo/2s3m, 152mm Howitzer, PKT, null, 20, 60, 450, 28
6,2S4; 240mm,"Its official designation is SM-240 (2S4). Its design is based on the GMZ tracked minelaying vehicle carrying an externally mounted M-240 240 mm breech-loading mortar on the rear of the hull. The crew consists of four men, but an extra five are required to operate the mortar. This has a range of 9,650 m but an extended range munition exists with a possible range of 20,000 m. Due to the large size of the weapon and the weight of the ammunition (130 kg for a standard projectile) it has a slow rate of fire: one round per minute. In addition to the high explosive bombs, it can fire armour-piercing, chemical and nuclear rounds. It can also fire the ""Smel'chak"" (""Daredevil""), a laser-guided round. The Tyulpan is currently the heaviest mortar in deployment among any country.",group/ enspmortar,individual/ enarmormortar,photo/2s4, 240mm Mortar, 7.62mm, null, 14, 70, 500, 12
7,2S5; Giatsint,"The 2S5 is more powerful, has a longer range and a higher rate of fire than the 2S3. However, the 2S5 has a limited main armament traverse and a narrower elevation range than the 2S3. Semi-automatic loader and outside feed door.",group/ enspartillery,individual/ enhvyhowitzer,photo/2s5, 152mm Howitzer, 7.62mm, null,15,63,500,28
8,2S9; Nona-S,Gun and mortar frag-he ammunition for the 2s9-1 can employ proximity fuzes for air bursts.,group/ enspmortar,individual/ enarmormortar,photo/2s9, 120mm Mortar, 120mm Cannon, null, 10, 60, 500, 9
9,9A52-2; Smerch,"9a52-2 launcher with all support equipment (including 9t234-2 transloader, and 1k123 vivary fire control system) is called complex 9k58. Currently, the more commonly associated fire control complex is mp-32m1 on a tatra chassis, with glonass/navstar gps navigation.",group/ enwheelmlrs,individual/ enhvymlrs ,photo/smerch, 300mm DPICM, null, null, 2, 60, 850, 44
10,Al Khalid,"Welded turret permits upgrade for improved armor. Bar armor stowage racks on turret sides and rear can pre-detonate grenades launched at those aspects. Paint is ir-reflecting. Other possible upgrades include conformal era similar to that on the chinese 98 gai. The design was derived from the chinese p-90/mbt2000, with pakistani modifications. It is built in pakistan, with a ukrainian drive train, serbian fcs, french thermal sight, with russian atgm and atgm fire control, and possible use of ukrainian kombat gun-launch atgms. The previous thermal sight was sagem 1st gen with 2500m estimated range. Pakistani army has contracted for upgrade sights. An upcoming export deal may be new 3rd gen sagem matis thermal sight with 11,000 m detection range and 5300m recognition.",group/ frarmor,individual/ frtank,photo/alkhalid, 125mm APFSDS-T, PKT, AT-11C HEAT, 900, 70, 450, 47
11,AMX-10 HOT,"The AMX-10 HOT constitutes a high-end application on that spectrum, and has not been widely proliferated. The Lancelot turret used on AMX-10 HOT can be mounted on other armored fighting vehicles. The HOT Antitank guided missile can be launched from a ground launcher. But the cruciform-based single-tube ground launcher system exceeds the weight limit for the portable class of ATGM launchers. Thus it will rarely be dismounted. However, the launcher can be mounted on a variety of vehicles. Most use a simple pintle mount. The single-tube dismountable HOT firing station can be fitted on light vehicles such as the VBL. Thus the OPFOR Tier 2 battalion ATGM launcher was previously a HOT-3 pintle mount version on the VBL. It has also been fitted on infantry fighting vehicles and ATGM launcher vehicles, and helicopters.",group/ frat,individual/ frifv,photo/amx10hot, null, null, HOT 3, 20, 65, 600, 14
12,AMX-10P,"French snpe era kit & others available for use on the amx- 10p. During dismounted troop movement, era would be a hazard. Passive armor is more likely.",group/ frmechinf,individual/ frifv,photo/amx10p, 20mm auto-cannon, 7.62mm, Milan 3, 20, 60, 500, 13
13,AMX-10RC,The alis modular thermal sight can be used on the amx-10rc. A 280-hp baudouin engine replaced the original engine in some upgrades. In 1997 the french army demonstrated a version of the leclerc battlefield management system on the amx-10rc.,group/ frstrykerrecon,individual/ frmgs,photo/amx10rc, 105mm Rifled Gun, 7.62mm, null, 10, 85, 1000, 16
14,AMX-13,AMX-13 Model 51 – Original tank destroyer/recon vehicle w/75mm gun. Upgraded diesel engine and a 7.62mm AA MG. 2 versions were fitted with 2 x SS-11 or 3xHOT ATGM launchers.,group/ frarmor,individual/ frlttank,photo/amx13, 90mm HEAT, 7.62mm, null, 25, 60, 350, 15
15,AMX-30,"French Army AMX-30s were upgraded to -B2. The AMX-30B2 upgrade includes ERA, improved transmission and suspension, NBC system, gun stabilization, and COTAC FCS with a thermal night sight.",group/ frarmor,individual/ frmedtank,photo/amx30, 105mm APFSDS-T, 20mm auto-cannon, null, 120, 65, 550, 36
16,AU-F1T,A four-man gun crew can reload the AU-F1 in 15 minutes. A two-man gun crew can reload the AU-F1 in 20 minutes.,group/frspartillery,individual/frsphvyhowitzer,photo/auf1t,155mm Howitzer, M2 .50 caliber, null,15,60,450,42
17,BM-21; Grad MRL,Bm-21 is unquestionably the world’s most widely used mrl. The launcher and supporting equipment are called complex 9k51. A special generator powers the launcher. The 9v170 firing device is cab mounted. Rockets can be fired with a remote-firing device and a 64-m long cable.,group/ enwheelmlrs,individual/ enltmlrs,photo/bm21, 122mm HE Rockets, null, null, 2, 75, 450, 14
18,BMD-1,"Air droppable ifv with exit doors in the rear with space for 5 soldiers; 1 firing port on each side; 1 firing port in left rear door. Vehicle can be landed with troops on board. French snpe era available, but hazard to dismounted troops in immediate vicinity. Other options available include a b30 turrent (2a42 30-mm gun, 7.62-mm coax mg & 9p135m launcher for at-5/5b atgm), ags-17 30-mm automatic grenade launcher, spall liners, air conditioning, & more powerful engine.",group/ enmechinf,individual/ enifv,photo/bmd1, 73mm HEAT, PKM, AT-3 HEAT, 23, 61, 500, 8
19,BMD-2,"Air droppable ifv with exit doors in the rear with space for 5 soldiers; 1 firing port on each side; 1 firing port in left rear door. Vehicle can be landed with troops on board. French snpe era available, but hazard to dismounted troops in immediate vicinity. Other options available include a b30 turrent (2a42 30-mm gun, 7.62-mm coax mg & 9p135m launcher for at-5/5b atgm), ags-17 30-mm automatic grenade launcher, spall liners, air conditioning, & more powerful engine.",group/ enmechinf,individual/ enifv,photo/bmd2, 30mm auto-cannon, PKM, AT-5 HEAT, 33, 61, 500, 8
20,BMD-3,"French snpe era or other kits available, but their operation during dismounted troop movement could be hazardous. Added era weight affects the vehicle’s swim capability. Passive armor is more likely and ones used for amphibious operations will like not have any extra armor. Options available include spall liners, air conditioning, & a more powerful engine. Other termal sights are available for the atgm launcher. Indian flame-v adapter kits permits the bmd-3 to fire the milan, milan-2, and milan-3 atgms.",group/ enmechinf,individual/ enifv,photo/bmd3, 30mm auto-cannon, 30mm AGL, AT-5B HEAT, 23, 70, 500, 13
21,BMD-4,"French snpe era or other kits available, but their operation during dismounted troop movement could be hazardous. Added era weight affects the vehicle’s swim capability. Passive armor is more likely and ones used for amphibious operations will like not have any extra armor. Options available include spall liners, air conditioning, & a more powerful engine. Other termal sights are available for the atgm launcher. Indian flame-v adapter kits permits the bmd-3 to fire the milan, milan-2, and milan-3 atgms.",group/ enmechinf,individual/ enifv,photo/bmd4, 100mm HE-Shrapnel, 30mm auto-cannon, AT-11B HEAT, 23, 70, 500, 13
22,BMP-1,"Orginal bmp began in 1966 but did not perform satisfactorialy until 1970. French snpe era kit & others are available for use, but is dangerous with soldiers dismount. Other options include improved tracks, spall liners, air condtioning, smoke grenade launchers, laser warning recivers, & a more powerful engine.",group/ enmechinf,individual/ enifv,photo/bmp1, 73mm HEAT, PKM, AT-3 HEAT, 23, 65, 600, 13
